Bigdata,GraphDB,Jena,Sesame,Stardog,Virtuoso
,qps,qps,qps,qps,qps
19.417,23.041,118.483,23.935,14.785,19.425
11.043,12.285,1.923,4.461,0.133,17.367
6.275,3.455,73.314,15.918,26.961,13.256
20.73,13.908,90.744,19.433,25.822,222.222
2.131,0.911,9.461,3.43,0.032,7.63
5.121,2.351,0.074,0.095,0.421,12.591
19.724,22.321,130.89,25.189,24.336,77.882
19.936,22.758,143.266,20.3,0.034,39.968
18.409,21.008,209.205,30.96,15.449,227.273
9.083,29.603,18.713,14.518,6.169,19.732
6.176,6.397,0.074,9.491,0.603,9.932
14.848,9.614,64.02,10.217,9.398,21.882
12.947,20.442,124.378,15.528,10.721,34.507
16.372,9.697,132.275,15.202,6.971,31.606
0.193,33.875,0.323,24.631,0.229,37.793
11.507,15.106,9.513,14.049,10.526,25.497
30.788,59.595,126.904,34.941,31.884,20.619
5.473,5.631,53.738,11.834,9.259,11.729
11.792,16.021,62.267,15.17,0.161,27.427
15.298,19.47,65.963,14.451,12.092,57.339
7.019,4.073,83.056,0.075,10.905,9.362
13.092,4.716,76.687,15.23,23.641,18.464
0.01,5.523,26.853,4.269,2.096,7.547
7.02,5.225,63.371,3.162,24.752,52.411
1.728,2.09,58.962,18.918,12.882,12.306
,,,,,
avgresults,avgresults,avgresults,avgresults,avgresults,avgresults
1.28,1.28,1.28,1.28,1.909,1.28
0,3.98,0,3.98,0,0
9.02,9.02,9.02,9.02,8.182,9.02
1.3,1.3,1.3,1.3,1.545,1.3
0,0,0,0,7.818,9
7.58,7.6,7.58,7.6,8.909,7.58
0.46,0.72,0.48,0.72,0,0.46
1.08,1.08,1.08,1.08,0.5,1.08
0,0,0,0,0,0
0,0,0,0,0,0
1.48,1.48,1.48,1.48,0.5,1.48
1.02,1,1,1,1.2,1
1.22,1.22,1.22,1.22,1.455,1.22
0.18,0.18,0.18,0.18,0.091,0.18
0,0,0,0,0,0
1.88,1.88,1.88,1.88,0,1.88
0,0,0,0,0,0
3.1,3.1,2.217,3.1,2.5,2.98
2.44,2.44,2.44,2.44,3.091,2.44
1.02,1.2,1.2,1.2,0.4,1.2
4.78,4.78,4.78,4.78,5,4.78
4.78,4.78,4.78,4.78,3.4,4.78
2.041,2.16,2.16,2.16,2.3,2.16
6.42,6.42,6.42,6.42,7.1,6.42
10,10,10,10,10,10
,,,,,
,,,,,
,,,,,
qmph,,,,,
Bigdata,GraphDB,Jena,Sesame,Stardog,Virtuoso
33.417,882.172,65.926,150.058,6.23,2678.246
57.344,1350.014,114.878,180.987,,6679.13
,3913.494,167.699,154.695,,38787.474
,22198.893,422.185,224.57,,78310.958
