bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.126,71.206,0.000,Wed Aug 19 10:48:31 BST 2015,off,2511.145,http://localhost:7070/sparql,318.9600,0.0000,4,279.762,57.344,1,40,0.009777899489512895,8188326,10.892,2848.241,http://localhost:7070/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,8,0.067563,0.053664,1.313,32,0.229000,5,0.014000,0,16.788,0,0.076
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.090621,0.075053,0.000,29,0.280000,0,0.034000,0,12.516,3,0.092
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.278656,0.132817,7.875,32,1.397000,10,0.019000,0,4.070,0,0.313
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.070813,0.050758,0.938,32,0.386000,1,0.021000,0,16.018,0,0.080
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.903548,0.329843,0.000,31,7.562000,0,0.024000,0,1.255,1,0.983
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,2.196844,0.161267,8.094,32,62.928000,10,0.024000,0,0.516,0,2.468
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.066156,0.047603,0.719,32,0.289000,10,0.017000,0,17.145,0,0.074
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.078313,0.052176,1.156,32,0.343000,5,0.014000,0,14.484,0,0.088
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.083156,0.054516,0.000,32,0.430000,0,0.015000,0,13.640,0,0.093
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.156656,0.071260,0.000,32,1.337000,0,0.015000,0,7.240,0,0.176
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,1.656125,0.178749,2.125,32,21.850000,10,0.030000,0,0.685,0,1.861
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.094000,0.070739,1.281,32,0.389000,10,0.028000,0,12.066,0,0.106
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.247906,0.084003,1.656,32,4.616000,10,0.023000,0,4.575,0,0.279
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.052594,0.047817,0.031,32,0.112000,1,0.021000,0,21.566,0,0.059
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,26.788367,17.922730,0.200,30,121.683000,6,2.402000,0,0.042,2,28.216
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.378156,0.083927,1.531,32,5.189000,10,0.013000,0,2.999,0,0.425
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.027437,0.025678,0.000,32,0.085000,0,0.015000,0,41.339,0,0.031
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.270000,0.249926,1.969,32,0.596000,10,0.120000,1,4.201,0,0.303
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.124531,0.066727,2.219,32,1.356000,10,0.015000,0,9.108,0,0.140
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.086625,0.053406,0.938,32,0.512000,8,0.018000,0,13.094,0,0.097
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,0.333438,0.079290,4.875,32,5.395000,10,0.016000,0,3.402,0,0.375
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.112969,0.059460,5.250,32,0.756000,10,0.015000,0,10.040,0,0.127
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,110.925333,4.643553,4.600,15,301.503000,10,0.077000,0,0.010,18,58.418
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,2.923375,0.147210,5.500,32,40.076000,10,0.026000,0,0.388,0,3.284
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,1.634438,0.397417,10.000,32,23.817000,10,0.020000,10,0.694,0,1.836
