bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.101,94.134,0.000,Tue Aug 18 23:23:41 BST 2015,off,5925.109,http://localhost:7070/sparql,298.2510,0.0000,348.001,33.417,1,55,0.009777899489512895,808080,7.367,http://localhost:7070/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.051500,0.040779,1.280,50,0.268000,5,0.017000,0,19.417,0,0.050
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.090558,0.063668,0.000,43,0.475000,0,0.033000,0,11.043,7,0.075
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.159360,0.098798,9.020,50,1.154000,10,0.022000,0,6.275,0,0.154
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.048240,0.037679,1.300,50,0.292000,4,0.016000,1,20.730,0,0.047
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0.469360,0.331712,0.000,50,1.948000,0,0.047000,0,2.131,0,0.453
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0.195280,0.120548,7.580,50,0.868000,10,0.018000,0,5.121,0,0.189
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.050700,0.040574,0.460,50,0.297000,10,0.022000,0,19.724,0,0.049
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0.050160,0.040683,1.080,50,0.192000,8,0.015000,0,19.936,0,0.048
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.054320,0.043322,0.000,50,0.196000,0,0.014000,0,18.409,0,0.052
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.110100,0.057154,0.000,50,0.552000,0,0.022000,0,9.083,0,0.106
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,0.161920,0.078414,1.480,50,3.484000,10,0.025000,0,6.176,0,0.156
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.067347,0.052676,1.020,49,0.295000,3,0.020000,0,14.848,1,0.064
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.077240,0.055971,1.220,50,0.653000,10,0.024000,0,12.947,0,0.075
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.061080,0.044466,0.180,50,0.246000,6,0.020000,0,16.372,0,0.059
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,5.184040,5.032276,0.000,50,7.680000,0,3.254000,0,0.193,1,5.006
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.086900,0.057952,1.880,50,0.323000,10,0.019000,0,11.507,0,0.084
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.032480,0.027296,0.000,50,0.255000,0,0.023000,0,30.788,0,0.031
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.182720,0.173518,3.100,50,0.432000,10,0.123000,1,5.473,0,0.176
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,0.084800,0.053377,2.440,50,0.532000,10,0.014000,0,11.792,0,0.082
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.065367,0.051782,1.020,49,0.233000,10,0.018000,0,15.298,1,0.062
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,0.142480,0.077415,4.780,50,1.337000,10,0.015000,0,7.019,0,0.138
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.076380,0.056798,4.780,50,0.450000,10,0.015000,0,13.092,0,0.074
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,97.285224,18.563637,2.041,49,288.288000,10,0.045000,0,0.010,1,92.073
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.142460,0.067870,6.420,50,2.114000,10,0.024000,0,7.020,0,0.138
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.578540,0.387570,10.000,50,2.664000,10,0.026000,10,1.728,0,0.559
