bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.046,4.443,0.000,Thu Aug 20 13:41:41 BST 2015,off,73.592,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,55.1300,0.0000,8,770.713,3913.494,1,80,0.009777899489512895,9175932,765.315,355.406,http://localhost:5555/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,16,0.111047,0.036289,1.016,64,3.727000,5,0.007000,0,43.490,0,2.000
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.094922,0.036933,6.031,64,1.215000,10,0.007000,0,50.878,0,1.709
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.318922,0.252686,9.516,64,1.203000,10,0.008000,0,15.143,0,5.743
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.064047,0.045586,1.203,64,0.699000,4,0.008000,0,75.405,0,1.153
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.844797,0.628878,0.000,64,5.795000,0,0.009000,0,5.717,0,15.213
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.415172,0.141084,7.531,64,4.338000,10,0.008000,0,11.632,0,7.476
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.050344,0.019613,0.938,64,0.699000,10,0.007000,0,95.929,0,0.907
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.053969,0.024133,1.125,64,0.713000,8,0.006000,0,89.486,0,0.972
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.157688,0.013833,0.000,64,3.406000,0,0.006000,0,30.627,0,2.840
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.042844,0.023312,0.031,64,0.635000,2,0.011000,0,112.722,0,0.772
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,1.801906,0.059021,1.438,64,52.871000,10,0.007000,0,2.680,0,32.448
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.106125,0.062261,0.719,64,1.006000,3,0.009000,0,45.507,0,1.911
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,0.070688,0.031320,1.563,64,0.613000,10,0.007000,0,68.321,0,1.273
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.045031,0.018944,0.000,64,0.526000,0,0.009000,0,107.246,0,0.811
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,0.044094,0.020639,0.156,64,0.794000,10,0.010000,0,109.527,0,0.794
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,0.067469,0.024559,1.109,64,1.241000,10,0.009000,0,71.580,0,1.215
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.026594,0.010237,0.000,64,0.654000,0,0.006000,0,181.601,0,0.479
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.167203,0.137145,2.156,64,0.820000,10,0.015000,0,28.884,0,3.011
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.053859,0.029979,2.344,64,0.274000,10,0.007000,0,89.668,0,0.970
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.039938,0.020381,0.781,64,0.302000,10,0.006000,0,120.925,0,0.719
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,0.199234,0.090192,5.344,64,1.420000,10,0.007000,0,24.240,0,3.588
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.235938,0.095454,5.375,64,2.128000,10,0.007000,0,20.469,0,4.249
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,0.202891,0.073549,2.344,64,2.620000,10,0.009000,0,23.803,0,3.654
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,0.019719,0.013900,6.297,64,0.266000,10,0.008000,0,244.916,0,0.355
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,0.318781,0.177731,10.000,64,1.381000,10,0.010000,10,15.150,0,5.740
