bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.000,102.384,0.000,Tue Aug 18 15:44:09 BST 2015,off,1717.362,http://localhost:3030/BSBM/sparql,442.0660,0.0000,8,Infinity,167.699,1,80,0.009777899489512895,9175932,32.549,8190.707,http://localhost:3030/BSBM/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,16,0.004469,0.002627,1.453,64,0.027000,10,0.001000,0,1067.268,0,0.003
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.255125,0.007203,0.000,64,13.954000,0,0.001000,0,18.694,0,0.199
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.010094,0.005725,9.750,64,0.110000,10,0.001000,0,472.506,0,0.008
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.004359,0.002887,1.172,64,0.041000,4,0.001000,0,1094.045,0,0.003
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.159234,0.118212,0.000,64,0.948000,0,0.004000,0,29.952,0,0.124
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,11.170417,0.028733,8.067,60,168.742000,10,0.001000,0,0.427,6,8.183
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.006438,0.003644,0.641,64,0.103000,10,0.001000,0,740.871,0,0.005
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.002203,0.000000,0.859,64,0.015000,4,0.000000,0,2164.813,0,0.002
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.001297,0.000000,0.000,64,0.017000,0,0.000000,0,3677.574,0,0.001
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,1.623688,0.005183,0.000,64,28.038000,0,0.001000,0,2.937,0,1.269
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,49.075705,0.000000,1.770,61,358.842000,10,0.000000,0,0.097,3,36.549
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,0.012375,0.004712,1.172,64,0.256000,10,0.001000,0,385.402,0,0.010
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,1.217391,0.000000,1.500,64,65.845000,10,0.000000,0,3.918,0,0.951
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,0.008063,0.004633,0.156,64,0.079000,10,0.001000,0,591.548,0,0.006
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,65.998344,52.745267,0.000,64,118.584000,0,0.002000,0,0.072,0,51.569
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,1.211797,0.009147,1.344,64,15.321000,10,0.001000,0,3.936,0,0.947
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,0.001688,0.000000,0.000,64,0.004000,0,0.000000,0,2826.284,0,0.001
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,0.024767,0.016477,1.950,60,0.108000,10,0.003000,0,192.572,4,0.018
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,0.026891,0.004859,1.563,64,0.872000,10,0.001000,0,177.361,0,0.021
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,0.014397,0.000000,1.111,63,0.140000,10,0.000000,0,331.278,1,0.011
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,0.005672,0.003601,5.734,64,0.031000,10,0.001000,0,840.878,0,0.004
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,0.008203,0.003880,5.219,64,0.071000,10,0.001000,0,581.407,0,0.006
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,0.031813,0.012410,3.016,64,0.354000,10,0.001000,0,149.921,0,0.025
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,0.080250,0.026208,6.438,64,0.293000,10,0.001000,0,59.431,0,0.063
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,0.025469,0.015715,10.000,64,0.129000,10,0.002000,10,187.263,0,0.020
