bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.012,28.297,0.000,Tue Aug 18 13:09:17 BST 2015,off,3003.388,http://localhost:3030/BSBM/sparql,108.0470,0.0000,3060.040,65.926,1,55,0.009777899489512895,808080,14.603,http://localhost:3030/BSBM/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.008440,0.003992,1.280,50,0.047000,5,0.001000,0,118.483,0,0.027
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.519900,0.008977,0.000,50,24.527000,0,0.001000,0,1.923,0,1.670
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.013640,0.006642,9.020,50,0.163000,10,0.001000,0,73.314,0,0.044
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.011020,0.004944,1.300,50,0.116000,4,0.001000,1,90.744,0,0.035
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0.105700,0.077320,0.000,50,0.914000,0,0.021000,0,9.461,0,0.340
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,13.449720,0.059503,7.580,50,102.090000,10,0.001000,0,0.074,0,43.209
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.007640,0.005327,0.480,50,0.041000,10,0.002000,0,130.890,0,0.025
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0.006980,0.003825,1.080,50,0.041000,8,0.001000,0,143.266,0,0.022
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.004780,0.003094,0.000,50,0.018000,0,0.001000,0,209.205,0,0.015
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.053440,0.010324,0.000,50,0.420000,0,0.002000,0,18.713,0,0.172
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,13.566220,0.092294,1.480,50,62.190000,10,0.001000,0,0.074,0,43.583
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.015620,0.009630,1.000,50,0.099000,3,0.001000,0,64.020,0,0.050
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.008040,0.003971,1.220,50,0.043000,10,0.001000,0,124.378,0,0.026
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.007560,0.005164,0.180,50,0.028000,6,0.001000,0,132.275,0,0.024
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,3.092020,2.555847,0.000,50,8.007000,0,1.620000,0,0.323,0,9.934
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.105120,0.008037,1.880,50,4.348000,10,0.002000,0,9.513,0,0.338
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.007880,0.004783,0.000,50,0.026000,0,0.001000,0,126.904,0,0.025
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.018609,0.014202,2.217,46,0.065000,8,0.003000,1,53.738,5,0.055
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,0.016060,0.009714,2.440,50,0.073000,10,0.001000,0,62.267,0,0.052
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.015160,0.006868,1.200,50,0.153000,10,0.001000,0,65.963,0,0.049
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,0.012040,0.005378,4.780,50,0.173000,10,0.001000,0,83.056,0,0.039
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.013040,0.006242,4.780,50,0.107000,10,0.001000,0,76.687,0,0.042
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,0.037240,0.023097,2.160,50,0.229000,10,0.002000,0,26.853,0,0.120
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.015780,0.007053,6.420,50,0.288000,10,0.002000,0,63.371,0,0.051
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.016960,0.010141,10.000,50,0.110000,10,0.002000,10,58.962,0,0.054
