bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,4.550,478.848,0.000,Tue Aug 18 20:03:03 BST 2015,off,4103.837,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,1971.3200,0.0000,64,7.737,224.570,1,256,0.009777899489512895,4187411,24.909,122585.206,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,128,14.504563,0.871757,1.391,128,147.418000,10,0.025000,0,2.059,1,1.515
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,23.366689,1.342519,5.336,122,176.145000,10,0.042000,0,1.278,10,2.326
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,26.676712,1.097550,8.904,125,288.986000,10,0.048000,0,1.120,4,2.720
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,24.904569,1.014441,1.236,123,266.969000,4,0.052000,0,1.199,6,2.499
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,41.614536,1.579546,0.000,125,234.567000,0,0.056000,0,0.718,2,4.243
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,75.196936,9.941108,7.136,110,356.650000,10,0.063000,0,0.397,34,6.748
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,58.414950,14.825799,1.521,119,345.023000,10,0.149000,0,0.511,19,5.671
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,27.572672,3.255398,1.261,119,299.308000,10,0.286000,0,1.083,16,2.677
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,19.484767,2.677247,0.000,120,147.438000,0,0.260000,0,1.533,8,1.907
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,34.924516,4.278880,0.031,128,184.683000,2,0.140000,0,0.855,0,3.647
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,33.014773,7.435616,1.609,128,265.081000,10,0.200000,0,0.905,1,3.447
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,38.021794,10.748849,1.032,126,330.560000,10,0.043000,0,0.786,7,3.908
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,31.513218,5.881916,1.419,124,288.973000,10,0.202000,0,0.948,8,3.188
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,30.630268,3.737188,0.098,123,134.402000,10,0.010000,0,0.975,6,3.073
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,27.106328,3.198785,0.156,128,276.901000,10,0.016000,0,1.102,0,2.830
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,24.834457,2.673452,1.417,127,234.588000,10,0.016000,0,1.203,2,2.573
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,22.378603,1.746749,0.000,126,234.578000,0,0.011000,0,1.335,4,2.300
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,22.473421,2.121220,2.500,126,310.391000,10,0.064000,0,1.329,4,2.310
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,39.852075,4.405420,2.075,120,313.603000,10,0.038000,0,0.750,10,3.901
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,84.696068,14.696388,0.951,103,357.199000,10,0.085000,0,0.353,32,7.116
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,177.873118,89.437383,5.882,34,356.822000,10,0.023000,0,0.168,64,4.933
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,152.130843,40.352092,5.943,70,345.032000,10,0.007000,0,0.196,54,8.687
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,115.483838,21.950524,1.939,99,359.782000,10,0.024000,0,0.259,27,9.326
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,67.434610,4.636222,6.439,123,334.397000,10,0.009000,0,0.443,5,6.766
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,16.161187,1.878236,10.000,128,269.451000,10,0.010000,10,1.848,0,1.688
