bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.064,23.703,0.000,Tue Aug 18 18:04:33 BST 2015,off,1319.489,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,319.2600,0.0000,549.275,150.058,1,55,0.009777899489512895,808080,33.347,http://localhost:7788/openrdf-workbench/repositories/BSBMRegex/query?limit=0,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.041780,0.034576,1.280,50,0.219000,5,0.015000,0,23.935,0,0.160
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.224180,0.044223,3.980,50,5.929000,10,0.014000,0,4.461,0,0.860
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.062820,0.048645,9.020,50,0.383000,10,0.013000,0,15.918,0,0.241
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.051460,0.042078,1.300,50,0.255000,4,0.014000,1,19.433,0,0.197
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0.291560,0.210689,0.000,50,1.723000,0,0.025000,0,3.430,0,1.118
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,10.507100,0.409517,7.600,50,318.425000,10,0.018000,0,0.095,0,40.299
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.039700,0.032630,0.720,50,0.144000,10,0.013000,0,25.189,0,0.152
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0.049260,0.035383,1.080,50,0.440000,8,0.010000,0,20.300,0,0.189
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.032300,0.026895,0.000,50,0.121000,0,0.009000,0,30.960,0,0.124
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.068880,0.044934,0.000,50,0.607000,0,0.015000,0,14.518,0,0.264
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,0.105360,0.066832,1.480,50,1.486000,10,0.012000,0,9.491,0,0.404
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.097880,0.043958,1.000,50,1.916000,3,0.016000,0,10.217,0,0.375
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.064400,0.042154,1.220,50,0.754000,10,0.014000,0,15.528,0,0.247
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.065780,0.045785,0.180,50,0.660000,6,0.019000,0,15.202,0,0.252
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,0.040600,0.036308,0.000,50,0.108000,0,0.015000,0,24.631,0,0.156
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.071180,0.048795,1.880,50,0.290000,10,0.017000,0,14.049,0,0.273
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.028620,0.025593,0.000,50,0.139000,0,0.015000,0,34.941,0,0.110
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.084500,0.074190,3.100,50,0.231000,10,0.023000,1,11.834,0,0.324
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,0.065920,0.050594,2.440,50,0.476000,10,0.010000,0,15.170,0,0.253
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.069200,0.036165,1.200,50,0.894000,10,0.010000,0,14.451,0,0.265
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,13.341660,4.687105,4.780,50,23.997000,10,0.010000,0,0.075,0,51.170
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.065660,0.047454,4.780,50,0.516000,10,0.010000,0,15.230,0,0.252
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,0.234220,0.122811,2.160,50,3.456000,10,0.018000,0,4.269,0,0.898
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.316260,0.092833,6.420,50,4.135000,10,0.012000,0,3.162,0,1.213
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.052860,0.044251,10.000,50,0.196000,10,0.016000,10,18.918,0,0.203
