bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.115,37.117,0.000,Wed Aug 19 17:16:46 BST 2015,off,9244.958,http://localhost:5820/BSBMRegex/query,113.1050,0.0000,305.084,6.230,1,16,0.009777899489512895,808080,0.990,http://localhost:5820/BSBMRegex/query,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.067636,0.052501,1.909,11,0.239000,5,0.026000,0,14.785,1,0.125
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,7.499600,0.966847,0.000,10,22.176000,0,0.015000,0,0.133,2,12.628
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.037091,0.032173,8.182,11,0.112000,10,0.016000,0,26.961,1,0.069
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.038727,0.037019,1.545,11,0.068000,4,0.024000,1,25.822,1,0.072
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,31.237545,19.822307,7.818,11,100.924000,10,6.021000,1,0.032,1,57.860
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,2.375273,0.205536,8.909,11,14.089000,10,0.026000,0,0.421,1,4.400
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.041091,0.028235,0.000,11,0.100000,0,0.009000,0,24.336,1,0.076
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,29.017500,0.105229,0.500,12,347.248000,1,0.008000,0,0.034,0,58.634
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.064727,0.036334,0.000,11,0.304000,0,0.013000,0,15.449,0,0.120
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.162091,0.136545,0.000,11,0.450000,0,0.080000,0,6.169,0,0.300
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,1.657375,0.170987,0.500,8,9.095000,4,0.020000,0,0.603,5,2.233
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.106400,0.085854,1.200,10,0.224000,3,0.030000,0,9.398,1,0.179
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.093273,0.061587,1.455,11,0.380000,4,0.021000,0,10.721,0,0.173
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.143455,0.101081,0.091,11,0.436000,1,0.022000,0,6.971,0,0.266
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,4.367000,4.072772,0.000,11,7.309000,0,2.274000,0,0.229,0,8.089
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.095000,0.083246,0.000,11,0.258000,0,0.054000,0,10.526,0,0.176
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.031364,0.028803,0.000,11,0.068000,0,0.015000,0,31.884,0,0.058
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.108000,0.090357,2.500,8,0.274000,8,0.036000,1,9.259,3,0.145
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,6.224000,0.119358,3.091,11,67.531000,10,0.018000,0,0.161,0,11.528
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.082700,0.057728,0.400,10,0.246000,3,0.018000,0,12.092,1,0.139
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,0.091700,0.053068,5.000,10,0.297000,10,0.016000,0,10.905,1,0.154
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.042300,0.031208,3.400,10,0.131000,10,0.007000,0,23.641,1,0.071
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,0.477200,0.400752,2.300,10,1.073000,10,0.123000,0,2.096,1,0.804
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.040400,0.037987,7.100,10,0.065000,10,0.020000,0,24.752,1,0.068
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.077625,0.070278,10.000,8,0.158000,10,0.036000,10,12.882,3,0.105
