bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,nrthreads,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,totalruntime,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.013,0.703,0.000,Tue Aug 18 12:27:02 BST 2015,off,7.425,http://localhost:8890/sparql,4.2310,0.0000,8,2699.374,38787.474,1,80,0.009777899489512895,9175932,7585.200,56.264,http://localhost:8890/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,16,0.053719,0.010667,1.094,64,0.462000,4,0.001000,0,141.060,0,6.110
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,0.029906,0.010305,0.000,64,0.312000,0,0.001000,0,253.377,0,3.402
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,0.010344,0.005852,8.203,64,0.046000,10,0.001000,0,732.574,0,1.177
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0.010703,0.005862,1.031,64,0.050000,4,0.002000,0,707.977,0,1.217
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,0.018422,0.013697,9.344,64,0.112000,10,0.004000,1,411.335,0,2.095
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0.061156,0.018822,7.766,64,0.694000,10,0.002000,0,123.905,0,6.956
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,0.015219,0.012929,1.422,64,0.059000,10,0.003000,0,497.910,0,1.731
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,0.047344,0.012729,1.016,64,0.302000,9,0.001000,0,160.054,0,5.385
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,0.007016,0.003623,0.000,64,0.047000,0,0.001000,0,1080.098,0,0.798
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,0.054375,0.053095,0.000,64,0.117000,0,0.041000,0,139.357,0,6.185
