bdsm [version],aqetg,cqet,cqetg,date,drilldown,elapsedruntime,exploreEndpoint,maxquerymixruntime,minquerymixruntime,power,qmph,query [nr],querymixruns,scalefactor,seed,throughput,updateEndpoint,usecase,warmups,aqet,aqetg,avgresults,executecount,maxqet,maxresults,minqet,minresults,qps,timeoutcount,timeshare
Openlink BIBM Test Driver 0.7.7,0.015,1.224,0.000,Tue Aug 18 12:02:00 BST 2015,off,73.929,http://localhost:8890/sparql,3.2110,0.0000,2406.480,2678.246,1,55,0.009777899489512895,808080,595.173,http://localhost:8890/sparql,/home/sza1g10/bibmDBpediaGeneric/./queries/EuclideanLimit10,5,0.051480,0.008375,1.280,50,0.526000,5,0.001000,0,19.425,0,3.823
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0.057580,0.008366,0.000,50,1.245000,0,0.001000,0,17.367,0,4.276
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0.075440,0.022708,9.020,50,0.500000,10,0.001000,0,13.256,0,5.602
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0.004500,0.002986,1.300,50,0.033000,4,0.001000,1,222.222,0,0.334
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0.131060,0.066412,9.000,50,0.471000,10,0.005000,1,7.630,0,9.733
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,0.079420,0.030521,7.580,50,0.582000,10,0.002000,0,12.591,0,5.898
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0.012840,0.010959,0.460,50,0.112000,10,0.008000,0,77.882,0,0.954
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0.025020,0.006271,1.080,50,0.159000,8,0.001000,0,39.968,0,1.858
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,0.004400,0.001841,0.000,50,0.061000,0,0.001000,0,227.273,0,0.327
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,0.050680,0.046687,0.000,50,0.220000,0,0.015000,0,19.732,0,3.764
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,0.100680,0.017846,1.480,50,2.572000,10,0.001000,0,9.932,0,7.477
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,0.045700,0.009125,1.000,50,1.057000,3,0.002000,0,21.882,0,3.394
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,0.028980,0.005843,1.220,50,0.305000,10,0.001000,0,34.507,0,2.152
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,0.031640,0.025207,0.180,50,0.116000,6,0.014000,0,31.606,0,2.350
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,0.026460,0.024432,0.000,50,0.083000,0,0.016000,0,37.793,0,1.965
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,0.039220,0.027202,1.880,50,0.271000,10,0.015000,0,25.497,0,2.913
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,0.048500,0.013717,0.000,50,0.956000,0,0.001000,0,20.619,0,3.602
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,0.085260,0.077138,2.980,50,0.405000,10,0.045000,1,11.729,0,6.332
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,0.036460,0.006829,2.440,50,0.337000,10,0.001000,0,27.427,0,2.708
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,0.017440,0.004511,1.200,50,0.180000,10,0.001000,0,57.339,0,1.295
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,0.106820,0.021721,4.780,50,0.691000,10,0.001000,0,9.362,0,7.933
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,0.054160,0.011743,4.780,50,0.286000,10,0.001000,0,18.464,0,4.022
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,0.132500,0.078137,2.160,50,1.271000,10,0.003000,0,7.547,0,9.840
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,0.019080,0.006624,6.420,50,0.157000,10,0.002000,0,52.411,0,1.417
Openlink BIBM Test Driver 0.7.7,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,0.081260,0.034504,10.000,50,0.460000,10,0.003000,10,12.306,0,6.035
