1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.096,0.149,0.381,0.161,1.389,3.69,0.148,0.016,0.106,0.07,0.051,1.35,0.024,0.027,0.034,0.034,0.016,0.376,0.031,0.032,0.188,0.342,0.019,0.38,0.764
0.025,0.471,0.029,0.079,1.793,0.111,0.017,0.048,0.029,0.061,0.506,0.14,0.028,0.041,0.16,0.023,0.027,0.3,0.064,0.028,0.129,0.054,1.048,0.299,0.315
0.054,0.171,0.792,0.1,0.587,0.404,0.025,0.025,0.019,0.033,0.049,0.017,0.03,0.178,0.036,0.029,0.03,0.253,0.025,0.025,0.083,0.015,0.052,0.465,0.383
0.037,0.157,0.321,0.075,0.657,0.02,0.017,0.013,0.029,0.114,0.032,0.065,0.016,0.027,0.026,0.057,0.032,0.158,0.076,0.097,0.014,0.727,0.049,0.532,0.452
0.044,0.075,0.21,0.053,0.128,0.202,0.044,0.014,0.536,0.062,0.014,0.015,0.014,0.023,0.024,0.03,0.013,0.117,0.186,0.051,0.111,0.197,0.027,0.554,0.325
0.039,0.055,0.239,0.291,0.478,0.067,0.032,0.071,0.033,0.027,0.078,0.081,0.069,0.151,0.029,0.025,0.014,0.176,0.014,0.052,0.047,0.037,0.236,0.027,0.491
0.045,0.184,0.101,0.053,0.988,0.138,0.02,0.017,0.012,0.122,0.027,0.077,0.066,0.027,0.036,0.021,0.023,0.27,0.151,0.041,0.195,0.11,0.135,0.015,0.462
0.061,0.014,0.344,0.08,2.317,2.069,0.015,0.155,0.07,0.061,0.329,0.146,0.078,0.02,0.031,0.026,0.026,0.318,0.02,0.039,0.022,0.018,0.156,0.262,0.303
0.048,0.025,0.244,0.05,1.274,0.576,0.035,0.013,0.011,0.044,0.024,0.105,0.086,0.027,0.028,0.018,0.018,0.251,0.087,0.059,0.451,0.087,0.036,0.374,0.544
0.034,0.014,0.274,0.102,1.838,0.23,0.015,0.065,0.025,0.037,0.017,0.075,0.012,0.21,0.127,0.017,0.011,0.189,0.033,0.033,0.103,0.066,0.309,0.426,0.33
0.043,0.045,0.225,0.151,0.097,0.249,0.027,0.047,0.02,0.063,0.023,0.061,0.181,0.019,0.018,0.058,0.032,0.189,0.05,0.697,0.059,0.022,0.023,0.12,0.454
0.098,0.059,0.266,0.064,1.11,0.17,0.014,0.054,0.359,0.021,0.105,0.056,0.016,0.027,0.045,0.185,0.011,0.167,0.232,0.072,0.22,0.03,0.019,0.202,0.468
0.07,0.023,0.105,0.049,0.899,0.232,0.013,0.032,0.022,0.02,0.043,0.043,0.012,0.033,0.025,0.017,0.024,0.201,0.093,0.011,0.057,0.431,0.293,0.019,0.023
0.032,0.043,0.258,0.063,1.472,2.842,0.03,0.01,0.023,0.02,0.172,0.062,0.071,0.269,0.017,0.049,0.014,0.156,0.012,0.043,0.83,0.202,0.151,0.013,0.317
0.03,0.013,0.409,0.051,0.107,0.194,0.025,0.03,0.01,0.048,0.05,0.068,0.066,0.017,0.018,0.265,0.019,0.3,0.208,0.011,0.155,1.49,0.014,1.084,1.245
0.031,0.023,0.699,0.071,0.383,0.19,0.049,0.038,0.01,0.022,0.023,0.083,0.041,0.027,0.02,0.272,0.011,0.197,0.08,0.019,0.299,0.075,0.034,0.312,0.381
0.046,0.021,0.29,0.052,0.917,0.604,0.026,0.085,0.427,0.019,0.039,0.076,0.011,0.219,0.018,0.05,0.025,0.222,0.071,0.098,0.081,0.168,0.021,0.148,0.45
0.061,0.015,0.279,0.044,0.887,0.591,0.024,0.019,0.01,0.058,0.068,0.085,0.026,0.03,0.023,0.015,0.011,0.208,0.081,0.01,0.342,0.324,0.022,0.212,0.427
0.041,0.033,0.116,0.046,0.917,0.102,0.012,0.034,0.014,0.06,0.066,0.092,0.113,0.018,0.016,0.015,0.01,0.146,0.02,0.01,0.789,0.576,0.355,0.369,0.386
0.055,0.012,0.01,0.058,0.333,0.209,0.022,0.059,0.009,0.037,0.066,0.116,0.01,0.952,0.017,0.233,0.022,0.223,0.053,0.01,0.061,0.467,0.021,0.292,0.338
0.062,0.039,0.303,0.067,1.158,0.112,0.011,0.025,0.009,0.038,0.041,0.09,0.056,0.017,0.034,0.016,0.085,0.286,0.147,0.01,0.051,0.467,0.019,0.023,0.228
0.044,0.023,0.251,0.041,0.918,0.248,0.025,0.049,0.009,0.018,0.251,0.164,0.046,0.028,0.025,0.136,0.011,0.146,0.142,0.04,0.139,0.25,0.023,0.016,0.428
