,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
QueryID:,126,,0.049,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,1,,0.036,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.049,,0.062,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,4,,0.106,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,127,,0.045,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,2,,0.046,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.126,,0.084,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,0.032,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,128,,0.031,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,3,,0.031,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.098,,0.025,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,0.055,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,129,,0.019,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,4,,0.039,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.03,,0.063,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,1,,0.062,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,130,,0.022,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,5,,0.026,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.318,,0.026,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.023,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,131,,0.219,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,6,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.183,,0.054,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,10,,0.021,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,132,,0.031,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,7,,0.024,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.061,,0.035,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.026,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,133,,0.062,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,8,,0.016,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.086,,0.019,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.073,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,134,,0.031,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,9,,0.029,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.034,,0.028,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,135,,0.031,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,10,,0.015,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.096,,0.026,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.063,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,136,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,11,,0.015,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.075,,0.036,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.021,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,137,,0.018,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,12,,0.036,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,1.916,,0.015,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,0.083,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,138,,0.018,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,13,,0.022,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,
ResultCount:,0,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryID:,139,,,,,,,,,,,,,,,,,,,,,,,,,,
QueryCluster:,14,,,,,,,,,,,,,,,,,,,,,,,,,,
TimeInSeconds:,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,
