QueryID:,126
QueryCluster:,1
TimeInSeconds:,0.039
ResultCount:,4
QueryID:,127
QueryCluster:,2
TimeInSeconds:,21.604
ResultCount:,0
QueryID:,128
QueryCluster:,3
TimeInSeconds:,0.02
ResultCount:,10
QueryID:,129
QueryCluster:,4
TimeInSeconds:,0.026
ResultCount:,1
QueryID:,130
QueryCluster:,5
TimeInSeconds:,10.55
ResultCount:,10
QueryID:,131
QueryCluster:,6
TimeInSeconds:,8.064
ResultCount:,10
QueryID:,132
QueryCluster:,7
TimeInSeconds:,0.065
ResultCount:,0
QueryID:,133
QueryCluster:,8
TimeInSeconds:,0.037
ResultCount:,0
QueryID:,134
QueryCluster:,9
TimeInSeconds:,0.036
ResultCount:,0
QueryID:,135
QueryCluster:,10
TimeInSeconds:,0.099
ResultCount:,0
QueryID:,136
QueryCluster:,11
TimeInSeconds:,9.095
ResultCount:,0
QueryID:,137
QueryCluster:,12
TimeInSeconds:,360.1
ResultCount:,Null
QueryID:,138
QueryCluster:,13
TimeInSeconds:,0.046
ResultCount:,0
QueryID:,139
QueryCluster:,14
TimeInSeconds:,0.026
ResultCount:,0
QueryID:,140
QueryCluster:,15
TimeInSeconds:,6.196
ResultCount:,0
QueryID:,141
QueryCluster:,16
TimeInSeconds:,0.054
ResultCount:,0
QueryID:,142
QueryCluster:,17
TimeInSeconds:,0.031
ResultCount:,0
QueryID:,143
QueryCluster:,18
TimeInSeconds:,0.078
ResultCount:,4
QueryID:,144
QueryCluster:,19
TimeInSeconds:,0.038
ResultCount:,0
QueryID:,145
QueryCluster:,20
TimeInSeconds:,0.046
ResultCount:,0
QueryID:,146
QueryCluster:,21
TimeInSeconds:,0.04
ResultCount:,1
QueryID:,147
QueryCluster:,22
TimeInSeconds:,0.033
ResultCount:,10
QueryID:,148
QueryCluster:,23
TimeInSeconds:,0.18
ResultCount:,0
QueryID:,149
QueryCluster:,24
TimeInSeconds:,0.036
ResultCount:,4
QueryID:,150
QueryCluster:,25
TimeInSeconds:,0.07
ResultCount:,10
QueryID:,151
QueryCluster:,1
TimeInSeconds:,0.026
ResultCount:,4
QueryID:,152
QueryCluster:,2
TimeInSeconds:,3.941
ResultCount:,0
QueryID:,153
QueryCluster:,3
TimeInSeconds:,0.016
ResultCount:,0
QueryID:,154
QueryCluster:,4
TimeInSeconds:,0.068
ResultCount:,1
QueryID:,155
QueryCluster:,5
TimeInSeconds:,7.234
ResultCount:,10
QueryID:,156
QueryCluster:,6
TimeInSeconds:,0.045
ResultCount:,10
QueryID:,157
QueryCluster:,7
TimeInSeconds:,0.075
ResultCount:,0
QueryID:,158
QueryCluster:,8
TimeInSeconds:,0.063
ResultCount:,1
QueryID:,159
QueryCluster:,9
TimeInSeconds:,0.035
ResultCount:,0
QueryID:,160
QueryCluster:,10
TimeInSeconds:,0.115
ResultCount:,0
QueryID:,161
QueryCluster:,11
TimeInSeconds:,0.021
ResultCount:,4
QueryID:,162
QueryCluster:,12
TimeInSeconds:,0.044
ResultCount:,1
QueryID:,163
QueryCluster:,13
TimeInSeconds:,0.024
ResultCount:,0
QueryID:,164
QueryCluster:,14
TimeInSeconds:,0.101
ResultCount:,0
QueryID:,165
QueryCluster:,15
TimeInSeconds:,4.364
ResultCount:,0
QueryID:,166
QueryCluster:,16
TimeInSeconds:,0.129
ResultCount:,0
QueryID:,167
QueryCluster:,17
TimeInSeconds:,0.03
ResultCount:,0
QueryID:,168
QueryCluster:,18
TimeInSeconds:,0.274
ResultCount:,1
QueryID:,169
QueryCluster:,19
TimeInSeconds:,67.531
ResultCount:,1
QueryID:,170
QueryCluster:,20
TimeInSeconds:,0.073
ResultCount:,0
QueryID:,171
QueryCluster:,21
TimeInSeconds:,0.034
ResultCount:,10
QueryID:,172
QueryCluster:,22
TimeInSeconds:,0.059
ResultCount:,0
QueryID:,173
QueryCluster:,23
TimeInSeconds:,1.073
ResultCount:,8
QueryID:,174
QueryCluster:,24
TimeInSeconds:,0.065
ResultCount:,7
QueryID:,175
QueryCluster:,25
TimeInSeconds:,0.08
ResultCount:,10
QueryID:,176
QueryCluster:,1
TimeInSeconds:,0.026
ResultCount:,1
QueryID:,177
QueryCluster:,2
TimeInSeconds:,0.042
ResultCount:,0
QueryID:,178
QueryCluster:,3
TimeInSeconds:,0.037
ResultCount:,10
QueryID:,179
QueryCluster:,4
TimeInSeconds:,0.033
ResultCount:,4
QueryID:,180
QueryCluster:,5
TimeInSeconds:,10.1
ResultCount:,10
QueryID:,181
QueryCluster:,6
TimeInSeconds:,0.028
ResultCount:,10
QueryID:,182
QueryCluster:,7
TimeInSeconds:,0.011
ResultCount:,0
QueryID:,183
QueryCluster:,8
TimeInSeconds:,0.008
ResultCount:,0
QueryID:,184
QueryCluster:,9
TimeInSeconds:,0.032
ResultCount:,0
QueryID:,185
QueryCluster:,10
TimeInSeconds:,0.132
ResultCount:,0
QueryID:,186
QueryCluster:,11
TimeInSeconds:,360.101
ResultCount:,Null
QueryID:,187
QueryCluster:,12
TimeInSeconds:,0.071
ResultCount:,0
QueryID:,188
QueryCluster:,13
TimeInSeconds:,0.042
ResultCount:,0
QueryID:,189
QueryCluster:,14
TimeInSeconds:,0.195
ResultCount:,0
QueryID:,190
QueryCluster:,15
TimeInSeconds:,4.306
ResultCount:,0
QueryID:,191
QueryCluster:,16
TimeInSeconds:,0.07
ResultCount:,0
QueryID:,192
QueryCluster:,17
TimeInSeconds:,0.028
ResultCount:,0
QueryID:,193
QueryCluster:,18
TimeInSeconds:,0.109
ResultCount:,1
QueryID:,194
QueryCluster:,19
TimeInSeconds:,0.042
ResultCount:,0
QueryID:,195
QueryCluster:,20
TimeInSeconds:,0.018
ResultCount:,0
QueryID:,196
QueryCluster:,21
TimeInSeconds:,0.023
ResultCount:,2
QueryID:,197
QueryCluster:,22
TimeInSeconds:,0.008
ResultCount:,0
QueryID:,198
QueryCluster:,23
TimeInSeconds:,0.123
ResultCount:,0
QueryID:,199
QueryCluster:,24
TimeInSeconds:,0.04
ResultCount:,10
QueryID:,200
QueryCluster:,25
TimeInSeconds:,0.045
ResultCount:,10
QueryID:,201
QueryCluster:,1
TimeInSeconds:,0.046
ResultCount:,5
QueryID:,202
QueryCluster:,2
TimeInSeconds:,0.046
ResultCount:,0
QueryID:,203
QueryCluster:,3
TimeInSeconds:,0.039
ResultCount:,10
QueryID:,204
QueryCluster:,4
TimeInSeconds:,0.038
ResultCount:,1
QueryID:,205
QueryCluster:,5
