QueryID:,126
QueryCluster:,1
TimeInSeconds:,0.104
ResultCount:,9
QueryID:,127
QueryCluster:,2
TimeInSeconds:,0.093
ResultCount:,4
QueryID:,128
QueryCluster:,3
TimeInSeconds:,0.152
ResultCount:,10
QueryID:,129
QueryCluster:,4
TimeInSeconds:,0.053
ResultCount:,1
QueryID:,130
QueryCluster:,5
TimeInSeconds:,0.029
ResultCount:,10
QueryID:,131
QueryCluster:,6
TimeInSeconds:,0.027
ResultCount:,10
QueryID:,132
QueryCluster:,7
TimeInSeconds:,0.6
ResultCount:,3
QueryID:,133
QueryCluster:,8
TimeInSeconds:,0.11
ResultCount:,10
QueryID:,134
QueryCluster:,9
TimeInSeconds:,0.122
ResultCount:,10
QueryID:,135
QueryCluster:,10
TimeInSeconds:,0.138
ResultCount:,10
QueryID:,136
QueryCluster:,11
TimeInSeconds:,0.012
ResultCount:,1
QueryID:,137
QueryCluster:,12
TimeInSeconds:,0.62
ResultCount:,10
QueryID:,138
QueryCluster:,13
TimeInSeconds:,0.065
ResultCount:,10
QueryID:,139
QueryCluster:,14
TimeInSeconds:,0.019
ResultCount:,2
QueryID:,140
QueryCluster:,15
TimeInSeconds:,0.009
ResultCount:,1
QueryID:,141
QueryCluster:,16
TimeInSeconds:,0.003
ResultCount:,1
QueryID:,142
QueryCluster:,17
TimeInSeconds:,0.254
ResultCount:,10
QueryID:,143
QueryCluster:,18
TimeInSeconds:,0.003
ResultCount:,1
QueryID:,144
QueryCluster:,19
TimeInSeconds:,0.008
ResultCount:,1
QueryID:,145
QueryCluster:,20
TimeInSeconds:,0.23
ResultCount:,10
QueryID:,146
QueryCluster:,21
TimeInSeconds:,0.041
ResultCount:,10
QueryID:,147
QueryCluster:,22
TimeInSeconds:,0.517
ResultCount:,1
QueryID:,148
QueryCluster:,23
TimeInSeconds:,0.018
ResultCount:,10
QueryID:,149
QueryCluster:,24
TimeInSeconds:,0.002
ResultCount:,10
QueryID:,150
QueryCluster:,25
TimeInSeconds:,0.074
ResultCount:,1
QueryID:,151
QueryCluster:,1
TimeInSeconds:,0.01
ResultCount:,4
QueryID:,152
QueryCluster:,2
TimeInSeconds:,0.089
ResultCount:,1
QueryID:,153
QueryCluster:,3
TimeInSeconds:,0.095
ResultCount:,10
QueryID:,154
QueryCluster:,4
TimeInSeconds:,0.053
ResultCount:,1
QueryID:,155
QueryCluster:,5
TimeInSeconds:,0.006
ResultCount:,1
QueryID:,156
QueryCluster:,6
TimeInSeconds:,0.013
ResultCount:,10
QueryID:,157
QueryCluster:,7
TimeInSeconds:,0.034
ResultCount:,7
QueryID:,158
QueryCluster:,8
TimeInSeconds:,0.104
ResultCount:,10
QueryID:,159
QueryCluster:,9
TimeInSeconds:,0.005
ResultCount:,10
QueryID:,160
QueryCluster:,10
TimeInSeconds:,0.136
ResultCount:,10
QueryID:,161
QueryCluster:,11
TimeInSeconds:,0.013
ResultCount:,1
QueryID:,162
QueryCluster:,12
TimeInSeconds:,0.041
ResultCount:,8
QueryID:,163
QueryCluster:,13
TimeInSeconds:,0.066
ResultCount:,10
QueryID:,164
QueryCluster:,14
TimeInSeconds:,0.033
ResultCount:,2
QueryID:,165
QueryCluster:,15
TimeInSeconds:,0.103
ResultCount:,2
QueryID:,166
QueryCluster:,16
TimeInSeconds:,0.376
ResultCount:,10
QueryID:,167
QueryCluster:,17
TimeInSeconds:,0.005
ResultCount:,10
QueryID:,168
QueryCluster:,18
TimeInSeconds:,0.002
ResultCount:,1
QueryID:,169
QueryCluster:,19
TimeInSeconds:,0.001
ResultCount:,6
QueryID:,170
QueryCluster:,20
TimeInSeconds:,1.723
ResultCount:,4
QueryID:,171
QueryCluster:,21
TimeInSeconds:,0.008
ResultCount:,5
QueryID:,172
QueryCluster:,22
TimeInSeconds:,0.586
ResultCount:,2
QueryID:,173
QueryCluster:,23
TimeInSeconds:,0.016
ResultCount:,10
QueryID:,174
QueryCluster:,24
TimeInSeconds:,0.005
ResultCount:,10
QueryID:,175
QueryCluster:,25
TimeInSeconds:,0.053
ResultCount:,4
QueryID:,176
QueryCluster:,1
TimeInSeconds:,0.091
ResultCount:,10
QueryID:,177
QueryCluster:,2
TimeInSeconds:,0.098
ResultCount:,1
QueryID:,178
QueryCluster:,3
TimeInSeconds:,0.089
ResultCount:,10
QueryID:,179
QueryCluster:,4
TimeInSeconds:,0.057
ResultCount:,1
QueryID:,180
QueryCluster:,5
TimeInSeconds:,0.02
ResultCount:,1
QueryID:,181
QueryCluster:,6
TimeInSeconds:,0.072
ResultCount:,4
QueryID:,182
QueryCluster:,7
TimeInSeconds:,0.019
ResultCount:,4
QueryID:,183
QueryCluster:,8
TimeInSeconds:,0.101
ResultCount:,10
QueryID:,184
QueryCluster:,9
TimeInSeconds:,0.043
ResultCount:,10
QueryID:,185
QueryCluster:,10
TimeInSeconds:,0.039
ResultCount:,10
QueryID:,186
QueryCluster:,11
TimeInSeconds:,0.009
ResultCount:,1
QueryID:,187
QueryCluster:,12
TimeInSeconds:,0.015
ResultCount:,2
QueryID:,188
QueryCluster:,13
TimeInSeconds:,0.048
ResultCount:,10
QueryID:,189
QueryCluster:,14
TimeInSeconds:,0.012
ResultCount:,2
QueryID:,190
QueryCluster:,15
TimeInSeconds:,0.006
ResultCount:,4
QueryID:,191
QueryCluster:,16
TimeInSeconds:,0.002
ResultCount:,1
QueryID:,192
QueryCluster:,17
TimeInSeconds:,0.161
ResultCount:,1
QueryID:,193
QueryCluster:,18
TimeInSeconds:,0.003
ResultCount:,1
QueryID:,194
QueryCluster:,19
TimeInSeconds:,0.006
ResultCount:,3
QueryID:,195
QueryCluster:,20
TimeInSeconds:,0.302
ResultCount:,10
QueryID:,196
QueryCluster:,21
TimeInSeconds:,0.341
ResultCount:,1
QueryID:,197
QueryCluster:,22
TimeInSeconds:,0.558
ResultCount:,1
QueryID:,198
QueryCluster:,23
TimeInSeconds:,0.01
ResultCount:,10
QueryID:,199
QueryCluster:,24
TimeInSeconds:,0.002
ResultCount:,10
QueryID:,200
QueryCluster:,25
TimeInSeconds:,0.04
ResultCount:,1
QueryID:,201
QueryCluster:,1
TimeInSeconds:,0.008
ResultCount:,1
QueryID:,202
QueryCluster:,2
TimeInSeconds:,0.077
ResultCount:,4
QueryID:,203
QueryCluster:,3
TimeInSeconds:,0.006
ResultCount:,10
QueryID:,204
QueryCluster:,4
TimeInSeconds:,0.054
ResultCount:,1
QueryID:,205
QueryCluster:,5
